order_id,date,store,currency,item,qty,unit_price_native,discount_pct,amount_native,fx_date
FX24-0001,2024-01-05,US-East,USD,Pantry cake tin set,2,4.32,5,8.21,2024-01-05
FX24-0002,2024-01-16,US-West,USD,Scented candle,9,8.38,0,75.42,2024-01-16
FX24-0003,2024-01-22,Berlin,EUR,Travel mug,15,11.87,0,178.05,2024-01-22
FX24-0004,2024-02-02,Paris,EUR,Cotton tea towel,15,15.27,0,229.05,2024-02-02
FX24-0005,2024-02-15,London,GBP,Travel mug,3,19.92,0,59.76,2024-02-15
FX24-0006,2024-02-20,Toronto,CAD,Bamboo lunch box,7,45.0,10,283.5,2024-02-20
FX24-0007,2024-03-05,Sydney,AUD,Desk organizer,18,67.13,5,1147.92,2024-03-05
FX24-0008,2024-03-15,Tokyo,JPY,Notebook bundle,10,630,0,6300.0,2024-03-15
FX24-0009,2024-03-27,US-East,USD,LED desk lamp,8,8.34,0,66.72,2024-03-27
FX24-0010,2024-01-04,US-West,USD,Scented candle,10,11.97,0,119.7,2024-01-04
FX24-0011,2024-01-16,Berlin,EUR,Pantry cake tin set,6,17.57,15,89.61,2024-01-16
FX24-0012,2024-01-22,Paris,EUR,Notebook bundle,12,22.91,10,247.43,2024-01-22
FX24-0013,2024-02-06,London,GBP,Travel mug,5,24.94,12,109.74,2024-02-06
FX24-0014,2024-02-15,Toronto,CAD,Reusable gift bag,3,59.49,12,157.05,2024-02-15
FX24-0015,2024-02-20,Sydney,AUD,Notebook bundle,3,6.41,5,18.27,2024-02-20
FX24-0016,2024-03-06,Tokyo,JPY,Travel mug,16,1180,15,16048.0,2024-03-06
FX24-0017,2024-03-12,US-East,USD,Pantry cake tin set,2,13.34,0,26.68,2024-03-12
FX24-0018,2024-03-22,US-West,USD,LED desk lamp,2,18.78,0,37.56,2024-03-22
FX24-0019,2024-01-02,Berlin,EUR,Travel mug,3,23.26,10,62.8,2024-01-02
FX24-0020,2024-01-10,Paris,EUR,Bamboo lunch box,9,29.62,0,266.58,2024-01-10
FX24-0021,2024-01-22,London,GBP,Reusable gift bag,4,33.9,0,135.6,2024-01-22
FX24-0022,2024-02-05,Toronto,CAD,Notebook bundle,8,5.58,12,39.28,2024-02-05
